"","study.accession","experiment.accession","source_name","strain","tissue"
"87","SRP072302","SRX1660760","breast cancer cell line","T47D cells","breast"
"88","SRP072302","SRX1660752","breast cancer cell line","MDAMB231 cells","breast"
"89","SRP072302","SRX1660699","breast cancer cell line","BT549 cells","breast"
"90","SRP072302","SRX1660800","breast cancer cell line","MCF7 cells","breast"
"91","SRP072302","SRX1660715","breast cancer cell line","BT549 cells","breast"
"92","SRP072302","SRX1660795","breast cancer cell line","MCF7 cells","breast"
"93","SRP072302","SRX1660798","breast cancer cell line","MCF7 cells","breast"
"94","SRP072302","SRX1660732","breast cancer cell line","MDAMB231 cells","breast"
"95","SRP072302","SRX1660793","breast cancer cell line","MCF7 cells","breast"
"96","SRP072302","SRX1660813","breast cancer cell line","MCF7 cells","breast"
"97","SRP072302","SRX1660737","breast cancer cell line","MDAMB231 cells","breast"
"98","SRP072302","SRX1660812","breast cancer cell line","MCF7 cells","breast"
"99","SRP072302","SRX1660751","breast cancer cell line","MDAMB231 cells","breast"
"100","SRP072302","SRX1660813","breast cancer cell line","MCF7 cells","breast"
"101","SRP072302","SRX1660697","breast cancer cell line","BT549 cells","breast"
"102","SRP072302","SRX1660744","breast cancer cell line","MDAMB231 cells","breast"
"103","SRP072302","SRX1660821","breast cancer cell line","MCF7 cells","breast"
"104","SRP072302","SRX1660774","breast cancer cell line","T47D cells","breast"
"105","SRP072302","SRX1660799","breast cancer cell line","MCF7 cells","breast"
"106","SRP072302","SRX1660743","breast cancer cell line","MDAMB231 cells","breast"
"107","SRP072302","SRX1660782","breast cancer cell line","T47D cells","breast"
"108","SRP072302","SRX1660764","breast cancer cell line","T47D cells","breast"
"109","SRP072302","SRX1660761","breast cancer cell line","T47D cells","breast"
"110","SRP072302","SRX1660705","breast cancer cell line","BT549 cells","breast"
"111","SRP072302","SRX1660785","breast cancer cell line","T47D cells","breast"
"112","SRP072302","SRX1660716","breast cancer cell line","BT549 cells","breast"
"113","SRP072302","SRX1660798","breast cancer cell line","MCF7 cells","breast"
"114","SRP072302","SRX1660791","breast cancer cell line","MCF7 cells","breast"
"115","SRP072302","SRX1660704","breast cancer cell line","BT549 cells","breast"
"116","SRP072302","SRX1660709","breast cancer cell line","BT549 cells","breast"
"117","SRP072302","SRX1660757","breast cancer cell line","MDAMB231 cells","breast"
