"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"71","ERP012527","ERX1346912","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"72","ERP012527","ERX1346673","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"73","ERP012527","ERX1346852","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"74","ERP012527","ERX1346898","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"75","ERP012527","ERX1346806","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"76","ERP012527","ERX1346834","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"77","ERP012527","ERX1346669","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"78","ERP012527","ERX1346750","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"79","ERP012527","ERX1346635","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"80","ERP012527","ERX1346943","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"81","ERP012527","ERX1346678","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"82","ERP012527","ERX1346605","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"83","ERP012527","ERX1346644","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"84","ERP012527","ERX1346866","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"85","ERP012527","ERX1346848","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"86","ERP012527","ERX1346752","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"87","ERP012527","ERX1346642","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"88","ERP012527","ERX1346952","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"89","ERP012527","ERX1346817","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"90","ERP012527","ERX1346746","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"91","ERP012527","ERX1346718","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"92","ERP012527","ERX1346796","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"93","ERP012527","ERX1346859","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"94","ERP012527","ERX1346610","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"95","ERP012527","ERX1346971","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"96","ERP012527","ERX1346608","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"97","ERP012527","ERX1346598","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"98","ERP012527","ERX1346731","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"99","ERP012527","ERX1346779","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"100","ERP012527","ERX1346861","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"101","ERP012527","ERX1346650","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"102","ERP012527","ERX1346829","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"103","ERP012527","ERX1346703","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"104","ERP012527","ERX1346766","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"105","ERP012527","ERX1346613","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"106","ERP012527","ERX1346788","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"107","ERP012527","ERX1346786","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"108","ERP012527","ERX1346769","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"109","ERP012527","ERX1346740","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"110","ERP012527","ERX1346739","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"111","ERP012527","ERX1346885","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"112","ERP012527","ERX1346961","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"113","ERP012527","ERX1346956","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"114","ERP012527","ERX1346597","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"115","ERP012527","ERX1346860","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"116","ERP012527","ERX1346655","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"117","ERP012527","ERX1346734","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"118","ERP012527","ERX1346896","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"119","ERP012527","ERX1346680","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"120","ERP012527","ERX1346702","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"121","ERP012527","ERX1346612","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"122","ERP012527","ERX1346687","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"123","ERP012527","ERX1346887","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"124","ERP012527","ERX1346944","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"125","ERP012527","ERX1346845","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"126","ERP012527","ERX1346639","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"127","ERP012527","ERX1346960","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"128","ERP012527","ERX1346657","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"129","ERP012527","ERX1346728","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"130","ERP012527","ERX1346715","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"131","ERP012527","ERX1346747","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"132","ERP012527","ERX1346976","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"133","ERP012527","ERX1346798","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"134","ERP012527","ERX1346818","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"135","ERP012527","ERX1346921","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"136","ERP012527","ERX1346646","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"137","ERP012527","ERX1346704","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"138","ERP012527","ERX1346886","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"139","ERP012527","ERX1346723","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"140","ERP012527","ERX1346916","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"141","ERP012527","ERX1346627","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"142","ERP012527","ERX1346624","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"143","ERP012527","ERX1346626","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"144","ERP012527","ERX1346929","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"145","ERP012527","ERX1346794","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"146","ERP012527","ERX1346906","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"147","ERP012527","ERX1346803","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"148","ERP012527","ERX1346858","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"149","ERP012527","ERX1346599","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"150","ERP012527","ERX1346767","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"151","ERP012527","ERX1346876","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"152","ERP012527","ERX1346691","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"153","ERP012527","ERX1346733","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"154","ERP012527","ERX1346808","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"155","ERP012527","ERX1346970","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"156","ERP012527","ERX1346762","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"157","ERP012527","ERX1346618","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"158","ERP012527","ERX1346924","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
