"","study.accession","experiment.accession","ArrayExpress.CellType","ArrayExpress.Species","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE"
"307","ERP012527","ERX1346966","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"308","ERP012527","ERX1346870","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"309","ERP012527","ERX1346738","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"310","ERP012527","ERX1346914","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"311","ERP012527","ERX1346698","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"312","ERP012527","ERX1346974","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"313","ERP012527","ERX1346645","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"314","ERP012527","ERX1346973","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"315","ERP012527","ERX1346919","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"316","ERP012527","ERX1346658","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"317","ERP012527","ERX1346664","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"318","ERP012527","ERX1346909","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"319","ERP012527","ERX1346804","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"320","ERP012527","ERX1346773","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"321","ERP012527","ERX1346632","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"322","ERP012527","ERX1346892","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"323","ERP012527","ERX1346791","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"324","ERP012527","ERX1346600","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"325","ERP012527","ERX1346949","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"326","ERP012527","ERX1346685","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"327","ERP012527","ERX1346968","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"328","ERP012527","ERX1346615","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"329","ERP012527","ERX1346726","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"330","ERP012527","ERX1346640","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"331","ERP012527","ERX1346712","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"332","ERP012527","ERX1346895","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"333","ERP012527","ERX1346774","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"334","ERP012527","ERX1346711","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"335","ERP012527","ERX1346686","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"336","ERP012527","ERX1346783","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"337","ERP012527","ERX1346643","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"338","ERP012527","ERX1346727","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"339","ERP012527","ERX1346714","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"340","ERP012527","ERX1346745","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"341","ERP012527","ERX1346749","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"342","ERP012527","ERX1346603","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"343","ERP012527","ERX1346872","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"344","ERP012527","ERX1346696","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"345","ERP012527","ERX1346969","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"346","ERP012527","ERX1346844","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"347","ERP012527","ERX1346741","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"348","ERP012527","ERX1346672","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"349","ERP012527","ERX1346713","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"350","ERP012527","ERX1346684","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"351","ERP012527","ERX1346835","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"352","ERP012527","ERX1346850","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"353","ERP012527","ERX1346695","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"354","ERP012527","ERX1346690","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"355","ERP012527","ERX1346933","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"356","ERP012527","ERX1346837","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"357","ERP012527","ERX1346939","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"358","ERP012527","ERX1346941","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"359","ERP012527","ERX1346869","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"360","ERP012527","ERX1346945","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"361","ERP012527","ERX1346922","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"362","ERP012527","ERX1346754","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"363","ERP012527","ERX1346846","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"364","ERP012527","ERX1346617","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"365","ERP012527","ERX1346819","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"366","ERP012527","ERX1346729","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"367","ERP012527","ERX1346828","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"368","ERP012527","ERX1346926","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"369","ERP012527","ERX1346839","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"370","ERP012527","ERX1346781","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"371","ERP012527","ERX1346842","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"372","ERP012527","ERX1346978","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"373","ERP012527","ERX1346975","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"374","ERP012527","ERX1346776","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"375","ERP012527","ERX1346674","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"376","ERP012527","ERX1346659","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"377","ERP012527","ERX1346656","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"378","ERP012527","ERX1346607","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"379","ERP012527","ERX1346948","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"380","ERP012527","ERX1346918","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"381","ERP012527","ERX1346637","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
"382","ERP012527","ERX1346938","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"383","ERP012527","ERX1346709","BPH1","Homo Sapien","2016-02-17","2018-03-09"
"384","ERP012527","ERX1346719","RWPE1","Homo Sapien","2016-02-17","2018-03-09"
