"","study.accession","experiment.accession","sample_name","sample.comment"
"103","DRP001358","DRX013802","DRS013548","PC9_004"
"104","DRP001358","DRX013903","DRS013649","LC2ad_replicate_013"
"105","DRP001358","DRX013768","DRS013514","LC2ad-R_van_056"
"106","DRP001358","DRX013648","DRS013394","LC2ad-R_049"
"107","DRP001358","DRX013655","DRS013401","LC2ad-R_056"
"108","DRP001358","DRX013664","DRS013410","LC2ad-R_065"
"109","DRP001358","DRX013810","DRS013556","PC9_012"
"110","DRP001358","DRX013630","DRS013376","LC2ad-R_031"
"111","DRP001358","DRX013627","DRS013373","LC2ad-R_028"
"112","DRP001358","DRX013660","DRS013406","LC2ad-R_061"
"113","DRP001358","DRX013674","DRS013420","LC2ad_005"
"114","DRP001358","DRX013894","DRS013640","LC2ad_replicate_004"
"115","DRP001358","DRX013800","DRS013546","PC9_002"
"116","DRP001358","DRX013914","DRS013660","LC2ad_replicate_024"
"117","DRP001358","DRX013821","DRS013567","PC9_023"
"118","DRP001358","DRX013907","DRS013653","LC2ad_replicate_017"
"119","DRP001358","DRX013790","DRS013536","LC2ad_van_020"
"120","DRP001358","DRX013732","DRS013478","LC2ad-R_van_020"
"121","DRP001358","DRX013720","DRS013466","LC2ad-R_van_008"
"122","DRP001358","DRX013843","DRS013589","PC9_045"
"123","DRP001358","DRX013607","DRS013353","LC2ad-R_008"
"124","DRP001358","DRX013677","DRS013423","LC2ad_008"
"125","DRP001358","DRX013656","DRS013402","LC2ad-R_057"
"126","DRP001358","DRX013781","DRS013527","LC2ad_van_011"
"127","DRP001358","DRX013861","DRS013607","LMD_017"
"128","DRP001358","DRX013775","DRS013521","LC2ad_van_005"
"129","DRP001358","DRX013924","DRS013670","LC2ad_replicate_034"
"130","DRP001358","DRX013739","DRS013485","LC2ad-R_van_027"
"131","DRP001358","DRX013610","DRS013356","LC2ad-R_011"
"132","DRP001358","DRX013863","DRS013609","LMD_019"
"133","DRP001358","DRX013747","DRS013493","LC2ad-R_van_035"
"134","DRP001358","DRX013726","DRS013472","LC2ad-R_van_014"
"135","DRP001358","DRX013871","DRS013617","LMD_027"
"136","DRP001358","DRX013735","DRS013481","LC2ad-R_van_023"
"137","DRP001358","DRX013809","DRS013555","PC9_011"
"138","DRP001358","DRX013877","DRS013623","LMD_033"
"139","DRP001358","DRX013728","DRS013474","LC2ad-R_van_016"
"140","DRP001358","DRX013662","DRS013408","LC2ad-R_063"
"141","DRP001358","DRX013687","DRS013433","LC2ad_018"
"142","DRP001358","DRX013935","DRS013681","LC2ad_replicate_045"
"143","DRP001358","DRX013902","DRS013648","LC2ad_replicate_012"
"144","DRP001358","DRX013844","DRS013590","PC9_046"
"145","DRP001358","DRX013760","DRS013506","LC2ad-R_van_048"
"146","DRP001358","DRX013704","DRS013450","LC2ad_035"
"147","DRP001358","DRX013650","DRS013396","LC2ad-R_051"
"148","DRP001358","DRX013737","DRS013483","LC2ad-R_van_025"
"149","DRP001358","DRX013808","DRS013554","PC9_010"
"150","DRP001358","DRX013718","DRS013464","LC2ad-R_van_006"
"151","DRP001358","DRX013906","DRS013652","LC2ad_replicate_016"
"152","DRP001358","DRX013604","DRS013350","LC2ad-R_005"
"153","DRP001358","DRX013641","DRS013387","LC2ad-R_042"
"154","DRP001358","DRX013814","DRS013560","PC9_016"
"155","DRP001358","DRX013791","DRS013537","LC2ad_van_021"
"156","DRP001358","DRX013836","DRS013582","PC9_038"
"157","DRP001358","DRX013818","DRS013564","PC9_020"
"158","DRP001358","DRX013858","DRS013604","LMD_014"
"159","DRP001358","DRX013691","DRS013437","LC2ad_022"
"160","DRP001358","DRX013879","DRS013625","LMD_035"
"161","DRP001358","DRX013754","DRS013500","LC2ad-R_van_042"
"162","DRP001358","DRX013731","DRS013477","LC2ad-R_van_019"
"163","DRP001358","DRX013602","DRS013348","LC2ad-R_003"
"164","DRP001358","DRX013717","DRS013463","LC2ad-R_van_005"
"165","DRP001358","DRX013659","DRS013405","LC2ad-R_060"
"166","DRP001358","DRX013886","DRS013632","LMD_042"
"167","DRP001358","DRX013758","DRS013504","LC2ad-R_van_046"
"168","DRP001358","DRX013929","DRS013675","LC2ad_replicate_039"
