"","study.accession","experiment.accession","source_name","cell.type","cell.line","tissue","sample.type","strain"
"112","SRP014428","SRX160201","Oocyte",NA,NA,"MII oocyte",NA,"CAST/Ei"
"113","SRP014428","SRX160228","LNCaP cell",NA,"LNCaP",NA,NA,NA
"114","SRP014428","SRX160285","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"115","SRP014428","SRX160253","PC3 cell",NA,"PC3",NA,NA,NA
"116","SRP014428","SRX160208","Brain",NA,NA,"brain","human reference brain RNA",NA
"117","SRP014428","SRX160202","Brain",NA,NA,"brain","human reference brain RNA",NA
"118","SRP014428","SRX160272","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"119","SRP014428","SRX160277","Universal human reference RNA",NA,NA,NA,"universal human reference RNA",NA
"120","SRP014428","SRX160194","Brain",NA,NA,"brain",NA,NA
"121","SRP014428","SRX160222","Embryonic stem cell","embryonic stem cell",NA,NA,NA,NA
