"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"231","SRP108709","SRX2887545","2_3D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3D_L001_R1_001.fastq.gz","3cc73a808ae6c27534e2f13e47ea5d24","Human"
"232","SRP108709","SRX2887286","1_6D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_6D_L008_R1_001.fastq.gz","2bfd3ec71b10a01c5c89c4f4190d330d","Human"
"233","SRP108709","SRX2887482","4_9C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9C_L002_R1_001.fastq.gz","672125b29c7affe375219cb30d5ae219","Human"
"234","SRP108709","SRX2887498","4_9A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9A_L002_R1_001.fastq.gz","60ea780b586a893ed6f2a198b7fba84e","Human"
"235","SRP108709","SRX2887298","4_7H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7H_L002_R1_001.fastq.gz","e2db3a050c349c20dfb7267eb7fd359f","Human"
"236","SRP108709","SRX2887374","4_2G_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2G_L002_R1_001.fastq.gz","ae166b15d552570ccbf9bee0a71b9bfc","Human"
"237","SRP108709","SRX2887390","4_10A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10A_L001_R1_001.fastq.gz","bdd231820de6f46e0753ff49f44c6f3b","Human"
"238","SRP108709","SRX2887447","2_4A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4A_L002_R1_001.fastq.gz","dd55d6c27efddd1af57d1ea1db4c1c65","Human"
"239","SRP108709","SRX2887423","4_10G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10G_L001_R1_001.fastq.gz","378adb44b18a216a21eb3783388213ab","Human"
"240","SRP108709","SRX2887499","4_9F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9F_L001_R1_001.fastq.gz","600e9e119ad343aa9c15dc4e6206ebc1","Human"
"241","SRP108709","SRX2887290","1_5C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_5C_L008_R1_001.fastq.gz","44bbe12f3c44adefcfb161925cd47ccb","Human"
"242","SRP108709","SRX2887507","4_11H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11H_L001_R1_001.fastq.gz","e4bda1d07dbb761c42f28ae8d8535d6b","Human"
"243","SRP108709","SRX2887412","4_3F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3F_L002_R1_001.fastq.gz","ae8157679826fd9304c4cfbc9e4db7f5","Human"
"244","SRP108709","SRX2887469","4_11D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11D_L001_R1_001.fastq.gz","5e1fd099f7106d575108c0c8ca82c934","Human"
"245","SRP108709","SRX2887314","2_7C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7C_L002_R1_001.fastq.gz","eed00ae144bbbc5fecbff8c60917c1c8","Human"
"246","SRP108709","SRX2887419","4_3E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3E_L001_R1_001.fastq.gz","f054ee97d1c1f67298ef1ad5b41a0099","Human"
"247","SRP108709","SRX2887465","4_10H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10H_L002_R1_001.fastq.gz","5de9b2cb2844838da8b5a69bd9981c4f","Human"
"248","SRP108709","SRX2887323","2_8B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8B_L001_R1_001.fastq.gz","192c09dc1ba67b8abfcd8a9ceb8e00b1","Human"
"249","SRP108709","SRX2887416","4_3D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3D_L002_R1_001.fastq.gz","fd73aa781b15d815749a0fe14371703b","Human"
"250","SRP108709","SRX2887403","4_4B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4B_L001_R1_001.fastq.gz","50e41dc1b6967179e163d4a12b7034ce","Human"
"251","SRP108709","SRX2887367","4_6C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6C_L001_R1_001.fastq.gz","3ee1481f0ada894f397956192d6b9ad9","Human"
"252","SRP108709","SRX2887349","2_9E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9E_L001_R1_001.fastq.gz","43c909b0458cec685220e2980f80565f","Human"
"253","SRP108709","SRX2887275","2_8D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_8D_L008_R1_001.fastq.gz","1ad67f246154ebbcc4c80186bf5e4a06","Human"
"254","SRP108709","SRX2887370","4_3A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3A_L002_R1_001.fastq.gz","cf4a6faf22c9681b09b595ee15819b84","Human"
"255","SRP108709","SRX2887529","4_6H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6H_L002_R1_001.fastq.gz","02cb68d4b4b53dcb7beff03e62db2e1b","Human"
"256","SRP108709","SRX2887398","4_4C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4C_L002_R1_001.fastq.gz","41012d6c3cd45118124ed0cd6d15f42f","Human"
"257","SRP108709","SRX2887396","2_10A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10A_L002_R1_001.fastq.gz","c0229ba60db2437abb5544c3515a2819","Human"
"258","SRP108709","SRX2887435","2_1F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1F_L001_R1_001.fastq.gz","49fad3cbc92be1afb7d86d1029e8493d","Human"
"259","SRP108709","SRX2887303","4_1H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1H_L002_R1_001.fastq.gz","8c3a785dc46d2231a973898ac82f46e5","Human"
"260","SRP108709","SRX2887362","2_11A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11A_L002_R1_001.fastq.gz","77d8ac734a1cbe07a5c41eb4d2b6e5de","Human"
"261","SRP108709","SRX2887433","4_10F_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10F_L001_R1_001.fastq.gz","50d449caa9b6f2500cb7fd53c3b2e462","Human"
"262","SRP108709","SRX2887256","4_6C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_6C_L002_R1_001.fastq.gz","2132c1d393365b88dc682edc1f7cb870","Human"
"263","SRP108709","SRX2887421","4_3H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3H_L002_R1_001.fastq.gz","74f68191337638cdad0aabfe65af1da5","Human"
"264","SRP108709","SRX2887425","4_8H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8H_L002_R1_001.fastq.gz","a93cf9a6b3d547fafc08cbd9713f5915","Human"
"265","SRP108709","SRX2887420","4_8E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8E_L001_R1_001.fastq.gz","a0770115fe3260d7ca96814674347530","Human"
"266","SRP108709","SRX2887361","2_10D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10D_L001_R1_001.fastq.gz","91d87cdf3c0fd15952cea5c25aec13fa","Human"
"267","SRP108709","SRX2887305","1_2C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_2C_L008_R1_001.fastq.gz","5d2cf6dd96ba840e75ff60c6c438697b","Human"
"268","SRP108709","SRX2887484","4_5B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5B_L001_R1_001.fastq.gz","ececd0e4f28922c6df174dcb3e3dc2f0","Human"
"269","SRP108709","SRX2887541","4_12E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12E_L001_R1_001.fastq.gz","2a7d8481bc9775d25680bf3dd0f51739","Human"
"270","SRP108709","SRX2887360","2_10D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10D_L002_R1_001.fastq.gz","8feccacaf49a9269939c7bb6fb3e8918","Human"
"271","SRP108709","SRX2887257","1_1EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_1EF_L008_R1_001.fastq.gz","07116631e3eabbf876ff3ae39c4b195c","Human"
"272","SRP108709","SRX2887336","4_2D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2D_L002_R1_001.fastq.gz","1e61c2c102af11e5cef9ddefaeee3738","Human"
"273","SRP108709","SRX2887395","2_10A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10A_L001_R1_001.fastq.gz","a06a49856dc4c49479bcc3d82e6048a0","Human"
"274","SRP108709","SRX2887263","4_1B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1B_L001_R1_001.fastq.gz","1b4db1e330eb8dc516ec0322b1cd153b","Human"
"275","SRP108709","SRX2887385","4_9E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9E_L001_R1_001.fastq.gz","d4b07e80fcde3e951a61f00a64f855be","Human"
"276","SRP108709","SRX2887508","4_11H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11H_L002_R1_001.fastq.gz","856a393dcf5e26a8d4a0db3ad7d48833","Human"
"277","SRP108709","SRX2887285","1_6EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_6EF_L008_R1_001.fastq.gz","7bc05b43d1953ca32dce415edcbc03c3","Human"
"278","SRP108709","SRX2887279","1_2EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_2EF_L008_R1_001.fastq.gz","d9a02333d117878af196ad206a8ff7d2","Human"
"279","SRP108709","SRX2887345","3_1D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_1D_L008_R1_001.fastq.gz","4c558386492346ce80c5434f5fa140d0","Human"
"280","SRP108709","SRX2887409","4_8D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8D_L002_R1_001.fastq.gz","245d094af445d553dacb35bc8166ea46","Human"
"281","SRP108709","SRX2887504","4_11F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11F_L002_R1_001.fastq.gz","87013efce2cf3cf43ae5323916132a9f","Human"
"282","SRP108709","SRX2887475","2_1B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1B_L001_R1_001.fastq.gz","d7746e7d956f6cdfdf243b589b7adc21","Human"
"283","SRP108709","SRX2887316","2_7A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7A_L002_R1_001.fastq.gz","0393276685b2d2d9c761bd47974a7121","Human"
"284","SRP108709","SRX2887468","4_11D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_11D_L002_R1_001.fastq.gz","fec989dc75036b5d9c4f78e47af750d5","Human"
"285","SRP108709","SRX2887377","4_2H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2H_L001_R1_001.fastq.gz","38b4496108cd8f5d69f26902fb3c0b1f","Human"
"286","SRP108709","SRX2887288","1_4D_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_4D_L008_R1_001.fastq.gz","03c8d265bdae08dc60a53a4bc49b4d56","Human"
"287","SRP108709","SRX2887544","2_3C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3C_L002_R1_001.fastq.gz","45d16269ef4f2e79e12f85110ce41bc1","Human"
"288","SRP108709","SRX2887532","4_8F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_8F_L002_R1_001.fastq.gz","1807c648126c39b2415fb052e9fb0582","Human"
"289","SRP108709","SRX2887500","4_9F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9F_L002_R1_001.fastq.gz","0a62e9dcb4f8c61854d28689f9cf5b04","Human"
"290","SRP108709","SRX2887386","4_4D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4D_L002_R1_001.fastq.gz","5902518ce07efb83ab99313ec3457b3b","Human"
"291","SRP108709","SRX2887297","4_7H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7H_L001_R1_001.fastq.gz","07a1995cce1c35de36b2a9542f75588e","Human"
"292","SRP108709","SRX2887429","4_10D_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_10D_L001_R1_001.fastq.gz","72c40adcddf723ca67c10cb131149186","Human"
"293","SRP108709","SRX2887343","4_2E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2E_L001_R1_001.fastq.gz","0b1b3a2ae7a32dc25fdd4a62e71c05d6","Human"
"294","SRP108709","SRX2887548","2_3G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3G_L001_R1_001.fastq.gz","b83a582ee5bb6b71f88dd0fc2eff40cb","Human"
"295","SRP108709","SRX2887399","1_7EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_7EF_L008_R1_001.fastq.gz","fca55e3fc665a4518ea8a6c853d065e4","Human"
"296","SRP108709","SRX2887402","1_8EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_8EF_L008_R1_001.fastq.gz","52b977e65429cf072ee162296423c85f","Human"
"297","SRP108709","SRX2887365","2_10H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10H_L001_R1_001.fastq.gz","3d1f9a795f784d11cde95506b92dee9d","Human"
"298","SRP108709","SRX2887477","4_9D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_9D_L002_R1_001.fastq.gz","4035ee4b3430cfc4e9b379dda4097547","Human"
"299","SRP108709","SRX2887478","2_1B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1B_L002_R1_001.fastq.gz","25fd10ad8ad479fe201d4cd153661f9b","Human"
"300","SRP108709","SRX2887307","4_1E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_1E_L001_R1_001.fastq.gz","a40358eec5a73d2ebfd9df9887c43c28","Human"
"301","SRP108709","SRX2887344","4_2E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2E_L002_R1_001.fastq.gz","820d96c5709adfca3990be76f9fefe91","Human"
"302","SRP108709","SRX2887346","3_2C_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM3_2C_L008_R1_001.fastq.gz","3449dd53e18eaa02ce92997d65ff4390","Human"
"303","SRP108709","SRX2887249","1_3EF_L008","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM1_3EF_L008_R1_001.fastq.gz","a4be97e541f0d3ea800df825b3d1e746","Human"
"304","SRP108709","SRX2887378","4_3C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3C_L002_R1_001.fastq.gz","3a69c1ceb76cec6104ec13ca4ec46fc9","Human"
"305","SRP108709","SRX2887444","2_3A_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_3A_L002_R1_001.fastq.gz","29c826e6c03960e9ea526104402e0c57","Human"
"306","SRP108709","SRX2887518","2_4C_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4C_L001_R1_001.fastq.gz","cbff24b9c98d826941fc5825833d3590","Human"
"307","SRP108709","SRX2887251","4_5H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5H_L001_R1_001.fastq.gz","66690c34636648af5449ea97168d5df5","Human"
"308","SRP108709","SRX2887515","2_4H-2_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4H-2_L002_R1_001.fastq.gz","0719267116ab2fe5e60e82bfd94cc833","Human"
