"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","sample_type","filename","md5_checksum","BioSampleModel"
"145","SRP108709","SRX2887338","4_2C_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_2C_L002_R1_001.fastq.gz","406e4a377291599eec041e505a6b4d3c","Human"
"146","SRP108709","SRX2887268","4_12H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12H_L002_R1_001.fastq.gz","7c2b4a7c53471e6fc8d00ed2c960d871","Human"
"147","SRP108709","SRX2887415","4_3G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_3G_L001_R1_001.fastq.gz","f434afa3266c245a25b9ac9c5479d884","Human"
"148","SRP108709","SRX2887319","2_7A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_7A_L001_R1_001.fastq.gz","d5084161a5dea050775cf41ab7273cc8","Human"
"149","SRP108709","SRX2887472","2_11E_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11E_L001_R1_001.fastq.gz","7d77483291067858489653a89a1a0f46","Human"
"150","SRP108709","SRX2887363","2_11A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_11A_L001_R1_001.fastq.gz","acd5bd9d59d72e6708629f73b6d437f8","Human"
"151","SRP108709","SRX2887452","4_5D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5D_L002_R1_001.fastq.gz","3b3fc48411fc48517302b18f7d88d2af","Human"
"152","SRP108709","SRX2887327","4_7B_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7B_L001_R1_001.fastq.gz","1c1a1ba7048e7e8cb37d4d84cf9f14d7","Human"
"153","SRP108709","SRX2887520","2_4H_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_4H_L001_R1_001.fastq.gz","d34827f33aed79aa65f70691d464a928","Human"
"154","SRP108709","SRX2887542","4_12F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12F_L002_R1_001.fastq.gz","2d736be20fe1ed58c722590a9417d3c6","Human"
"155","SRP108709","SRX2887513","4_12A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12A_L001_R1_001.fastq.gz","9403daf451c39b6a835f0a2b79859ee6","Human"
"156","SRP108709","SRX2887330","4_7D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_7D_L002_R1_001.fastq.gz","3d1c9bacb0ed51dd92e59a1c11c7958f","Human"
"157","SRP108709","SRX2887364","2_10H_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_10H_L002_R1_001.fastq.gz","ad261e942b7c9129d7e041a22a029b24","Human"
"158","SRP108709","SRX2887490","4_4G_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4G_L001_R1_001.fastq.gz","72c07c2e5b891d0bc87f1f1e6c1cef76","Human"
"159","SRP108709","SRX2887438","2_1F_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_1F_L002_R1_001.fastq.gz","0999d97018e9bbe16abb3e13b4a1b5c1","Human"
"160","SRP108709","SRX2887350","2_9E_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM2_9E_L002_R1_001.fastq.gz","48580cbfbecdf503938f7d03ab86815e","Human"
"161","SRP108709","SRX2887538","4_12D_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_12D_L002_R1_001.fastq.gz","7330f8f957c5a6b00800e8d6a66a0605","Human"
"162","SRP108709","SRX2887486","4_5A_L001","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_5A_L001_R1_001.fastq.gz","09cccdcdac12430f9cf0b330f5915bef","Human"
"163","SRP108709","SRX2887406","4_4B_L002","not applicable","Gary Clawson, Penn State, Hershey","not applicable","Peripheral blood","single cell","GCGM4_4B_L002_R1_001.fastq.gz","859fdc7d38fae9d65e4c8c070d1a3834","Human"
