"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","cell_line","BioSampleModel"
"58","SRP125154","SRX3402051","T47D_3h_2D6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"59","SRP125154","SRX3402125","T47D_12h_G10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"60","SRP125154","SRX3402089","T47D_0h_C6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"61","SRP125154","SRX3402047","T47D_3h_population","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"62","SRP125154","SRX3402120","T47D_3h_2B9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"63","SRP125154","SRX3402101","T47D_12h_D1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"64","SRP125154","SRX3402110","T47D_0h_H5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"65","SRP125154","SRX3402064","T47D_0h_G9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"66","SRP125154","SRX3402086","T47D_0h_C2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"67","SRP125154","SRX3402048","T47D_3h_2H3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"68","SRP125154","SRX3402095","T47D_12h_D8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"69","SRP125154","SRX3402068","T47D_0h_G12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"70","SRP125154","SRX3402106","T47D_12h_A3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"71","SRP125154","SRX3402109","T47D_0h_H2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"72","SRP125154","SRX3402083","T47D_6h_2F9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"73","SRP125154","SRX3402059","T47D_6h_2H8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"74","SRP125154","SRX3402077","T47D_6h_2E5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"75","SRP125154","SRX3402072","T47D_0h_F1","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"76","SRP125154","SRX3402088","T47D_0h_D11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"77","SRP125154","SRX3402093","T47D_0h_B11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"78","SRP125154","SRX3402103","T47D_12h_C5","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"79","SRP125154","SRX3402097","T47D_12h_C11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"80","SRP125154","SRX3402060","T47D_6h_2G2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"81","SRP125154","SRX3402129","T47D_12h_H4","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"82","SRP125154","SRX3402108","T47D_0h_H11","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"83","SRP125154","SRX3402085","T47D_0h_D12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"84","SRP125154","SRX3402082","T47D_6h_2F3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"85","SRP125154","SRX3402050","T47D_3h_2D10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"86","SRP125154","SRX3402116","T47D_3h_2B2","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"87","SRP125154","SRX3402040","T47D_6h_2C12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"88","SRP125154","SRX3402104","T47D_0h_population","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"89","SRP125154","SRX3402131","T47D_12h_G8","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"90","SRP125154","SRX3402042","T47D_6h_2B3","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"91","SRP125154","SRX3402058","T47D_6h_population","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"92","SRP125154","SRX3402078","T47D_6h_2E10","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"93","SRP125154","SRX3402105","T47D_12h_A12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"94","SRP125154","SRX3402124","T47D_12h_F9","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"95","SRP125154","SRX3402126","T47D_12h_F12","NA","Edwin CHEUNG","female","breast","T-47D","Human"
"96","SRP125154","SRX3402111","T47D_0h_H6","NA","Edwin CHEUNG","female","breast","T-47D","Human"
