"","study.accession","experiment.accession","source_name","cell.type","cell.subtype"
"215","SRP094414","SRX2388165","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"216","SRP094414","SRX2388130","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"217","SRP094414","SRX2388139","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"218","SRP094414","SRX2388133","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"219","SRP094414","SRX2388144","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"220","SRP094414","SRX2388168","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"221","SRP094414","SRX2388141","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"222","SRP094414","SRX2388108","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"223","SRP094414","SRX2388117","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"224","SRP094414","SRX2388123","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"225","SRP094414","SRX2388158","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"226","SRP094414","SRX2388140","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"227","SRP094414","SRX2388119","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"228","SRP094414","SRX2388132","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"229","SRP094414","SRX2388124","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"230","SRP094414","SRX2388110","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"231","SRP094414","SRX2388115","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"232","SRP094414","SRX2388103","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"233","SRP094414","SRX2388115","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"234","SRP094414","SRX2388163","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"235","SRP094414","SRX2388148","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"236","SRP094414","SRX2388132","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"237","SRP094414","SRX2388137","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"238","SRP094414","SRX2388104","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"239","SRP094414","SRX2388104","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"240","SRP094414","SRX2388122","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"241","SRP094414","SRX2388135","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"242","SRP094414","SRX2388154","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"243","SRP094414","SRX2388143","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"244","SRP094414","SRX2388132","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"245","SRP094414","SRX2388109","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"246","SRP094414","SRX2388134","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"247","SRP094414","SRX2388120","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"248","SRP094414","SRX2388159","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"249","SRP094414","SRX2388136","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"250","SRP094414","SRX2388118","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"251","SRP094414","SRX2388131","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"252","SRP094414","SRX2388131","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"253","SRP094414","SRX2388128","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"254","SRP094414","SRX2388144","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"255","SRP094414","SRX2388153","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"256","SRP094414","SRX2388139","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"257","SRP094414","SRX2388134","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"258","SRP094414","SRX2388115","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"259","SRP094414","SRX2388146","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"260","SRP094414","SRX2388166","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"261","SRP094414","SRX2388113","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"262","SRP094414","SRX2388146","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"263","SRP094414","SRX2388151","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"264","SRP094414","SRX2388127","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"265","SRP094414","SRX2388114","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"266","SRP094414","SRX2388150","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"267","SRP094414","SRX2388152","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"268","SRP094414","SRX2388114","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"269","SRP094414","SRX2388119","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"270","SRP094414","SRX2388164","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"271","SRP094414","SRX2388169","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"272","SRP094414","SRX2388151","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"273","SRP094414","SRX2388105","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"274","SRP094414","SRX2388112","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"275","SRP094414","SRX2388102","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"276","SRP094414","SRX2388135","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"277","SRP094414","SRX2388162","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"278","SRP094414","SRX2388167","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"279","SRP094414","SRX2388147","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"280","SRP094414","SRX2388125","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"281","SRP094414","SRX2388166","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"282","SRP094414","SRX2388133","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"283","SRP094414","SRX2388152","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"284","SRP094414","SRX2388151","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"285","SRP094414","SRX2388147","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"286","SRP094414","SRX2388151","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"287","SRP094414","SRX2388165","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"288","SRP094414","SRX2388169","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"289","SRP094414","SRX2388116","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"290","SRP094414","SRX2388118","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"291","SRP094414","SRX2388120","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"292","SRP094414","SRX2388150","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"293","SRP094414","SRX2388149","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"294","SRP094414","SRX2388165","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"295","SRP094414","SRX2388110","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"296","SRP094414","SRX2388162","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"297","SRP094414","SRX2388146","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"298","SRP094414","SRX2388153","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"299","SRP094414","SRX2388146","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"300","SRP094414","SRX2388168","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"301","SRP094414","SRX2388111","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"302","SRP094414","SRX2388159","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"303","SRP094414","SRX2388160","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"304","SRP094414","SRX2388129","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"305","SRP094414","SRX2388107","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"306","SRP094414","SRX2388137","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"307","SRP094414","SRX2388138","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"308","SRP094414","SRX2388162","Lung tumor (non-small cell lung cancer)","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"309","SRP094414","SRX2388144","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
"310","SRP094414","SRX2388143","Matched adjacent lung tissue","CD8+ T cells","CD45+, CD3+ CD8+, live singlets"
