"","study.accession","experiment.accession","source_name","tissue"
"1","SRP087579","SRX2147040","Sample_US-1491993","colon"
"2","SRP087579","SRX2147081","Sample_US-1493211","colon"
"3","SRP087579","SRX2147047","Sample_US-1492009","colon"
"4","SRP087579","SRX2147082","Sample_US-1493212","colon"
"5","SRP087579","SRX2147088","Sample_US-1493853","colon"
"6","SRP087579","SRX2147063","Sample_US-1492048","colon"
"7","SRP087579","SRX2147053","Sample_US-1492016","colon"
"8","SRP087579","SRX2147089","Sample_US-1493855","colon"
"9","SRP087579","SRX2147052","Sample_US-1492014","colon"
"10","SRP087579","SRX2147073","Sample_US-1493187","colon"
"11","SRP087579","SRX2147079","Sample_US-1493195","colon"
"12","SRP087579","SRX2147043","Sample_US-1492003","colon"
"13","SRP087579","SRX2147086","Sample_US-1493847","colon"
"14","SRP087579","SRX2147087","Sample_US-1493850","colon"
"15","SRP087579","SRX2147086","Sample_US-1493847","colon"
"16","SRP087579","SRX2147056","Sample_US-1492025","colon"
"17","SRP087579","SRX2147065","Sample_US-1492083","colon"
"18","SRP087579","SRX2147044","Sample_US-1492004","colon"
"19","SRP087579","SRX2147084","Sample_US-1493221","colon"
"20","SRP087579","SRX2147069","Sample_US-1493179","colon"
"21","SRP087579","SRX2147091","Sample_US-1493881","colon"
"22","SRP087579","SRX2147071","Sample_US-1493183","colon"
"23","SRP087579","SRX2147075","Sample_US-1493189","colon"
"24","SRP087579","SRX2147086","Sample_US-1493847","colon"
"25","SRP087579","SRX2147070","Sample_US-1493181","colon"
"26","SRP087579","SRX2147077","Sample_US-1493193","colon"
"27","SRP087579","SRX2147085","Sample_US-1493831","colon"
"28","SRP087579","SRX2147074","Sample_US-1493188","colon"
"29","SRP087579","SRX2147058","Sample_US-1492030","colon"
"30","SRP087579","SRX2147076","Sample_US-1493191","colon"
"31","SRP087579","SRX2147054","Sample_US-1492019","colon"
"32","SRP087579","SRX2147067","Sample_US-1493173","colon"
"33","SRP087579","SRX2147061","Sample_US-1492040","colon"
"34","SRP087579","SRX2147059","Sample_US-1492032","colon"
"35","SRP087579","SRX2147057","Sample_US-1492026","colon"
"36","SRP087579","SRX2147064","Sample_US-1492051","colon"
"37","SRP087579","SRX2147045","Sample_US-1492006","colon"
"38","SRP087579","SRX2147050","Sample_US-1492012","colon"
"39","SRP087579","SRX2147066","Sample_US-1493154","colon"
"40","SRP087579","SRX2147080","Sample_US-1493200","colon"
"41","SRP087579","SRX2147072","Sample_US-1493184","colon"
"42","SRP087579","SRX2147078","Sample_US-1493194","colon"
"43","SRP087579","SRX2147055","Sample_US-1492020","colon"
"44","SRP087579","SRX2147060","Sample_US-1492034","colon"
"45","SRP087579","SRX2147046","Sample_US-1492007","colon"
"46","SRP087579","SRX2147083","Sample_US-1493215","colon"
"47","SRP087579","SRX2147068","Sample_US-1493176","colon"
"48","SRP087579","SRX2147048","Sample_US-1492010","colon"
"49","SRP087579","SRX2147039","Sample_US-1491986","colon"
"50","SRP087579","SRX2147092","Sample_US-1494958","colon"
"51","SRP087579","SRX2147051","Sample_US-1492013","colon"
"52","SRP087579","SRX2147042","Sample_US-1491997","colon"
"53","SRP087579","SRX2147041","Sample_US-1491995","colon"
"54","SRP087579","SRX2147090","Sample_US-1493868","colon"
"55","SRP087579","SRX2147062","Sample_US-1492043","colon"
"56","SRP087579","SRX2147049","Sample_US-1492011","colon"
