"","study.accession","experiment.accession","source_name","tissue"
"1","SRP087577","SRX2146983","Sample_US-1492048","colon"
"2","SRP087577","SRX2146960","Sample_US-1491986","colon"
"3","SRP087577","SRX2146973","Sample_US-1492014","colon"
"4","SRP087577","SRX2146967","Sample_US-1492007","colon"
"5","SRP087577","SRX2146989","Sample_US-1493179","colon"
"6","SRP087577","SRX2146978","Sample_US-1492030","colon"
"7","SRP087577","SRX2147007","Sample_US-1493850","colon"
"8","SRP087577","SRX2146965","Sample_US-1492004","colon"
"9","SRP087577","SRX2146998","Sample_US-1493194","colon"
"10","SRP087577","SRX2146986","Sample_US-1493154","colon"
"11","SRP087577","SRX2146969","Sample_US-1492010","colon"
"12","SRP087577","SRX2147004","Sample_US-1493221","colon"
"13","SRP087577","SRX2147009","Sample_US-1493855","colon"
"14","SRP087577","SRX2146977","Sample_US-1492026","colon"
"15","SRP087577","SRX2147008","Sample_US-1493853","colon"
"16","SRP087577","SRX2147010","Sample_US-1493868","colon"
"17","SRP087577","SRX2147013","Sample_US-1553374","colon"
"18","SRP087577","SRX2146961","Sample_US-1491993","colon"
"19","SRP087577","SRX2146962","Sample_US-1491995","colon"
"20","SRP087577","SRX2146991","Sample_US-1493183","colon"
"21","SRP087577","SRX2146992","Sample_US-1493184","colon"
"22","SRP087577","SRX2147000","Sample_US-1493200","colon"
"23","SRP087577","SRX2146984","Sample_US-1492051","colon"
"24","SRP087577","SRX2146980","Sample_US-1492034","colon"
"25","SRP087577","SRX2146982","Sample_US-1492043","colon"
"26","SRP087577","SRX2147003","Sample_US-1493215","colon"
"27","SRP087577","SRX2147014","Sample_US-1553374","colon"
"28","SRP087577","SRX2146971","Sample_US-1492012","colon"
"29","SRP087577","SRX2146972","Sample_US-1492013","colon"
"30","SRP087577","SRX2147015","Sample_US-1553374","colon"
"31","SRP087577","SRX2146993","Sample_US-1493187","colon"
"32","SRP087577","SRX2146988","Sample_US-1493176","colon"
"33","SRP087577","SRX2146970","Sample_US-1492011","colon"
"34","SRP087577","SRX2147005","Sample_US-1493831","colon"
"35","SRP087577","SRX2146968","Sample_US-1492009","colon"
"36","SRP087577","SRX2147011","Sample_US-1493881","colon"
"37","SRP087577","SRX2146963","Sample_US-1491997","colon"
"38","SRP087577","SRX2146966","Sample_US-1492006","colon"
"39","SRP087577","SRX2146981","Sample_US-1492040","colon"
"40","SRP087577","SRX2146987","Sample_US-1493173","colon"
"41","SRP087577","SRX2146985","Sample_US-1492083","colon"
"42","SRP087577","SRX2146990","Sample_US-1493181","colon"
"43","SRP087577","SRX2146964","Sample_US-1492003","colon"
"44","SRP087577","SRX2146974","Sample_US-1492016","colon"
"45","SRP087577","SRX2147006","Sample_US-1493847","colon"
"46","SRP087577","SRX2146999","Sample_US-1493195","colon"
"47","SRP087577","SRX2146995","Sample_US-1493189","colon"
"48","SRP087577","SRX2146979","Sample_US-1492032","colon"
"49","SRP087577","SRX2146994","Sample_US-1493188","colon"
"50","SRP087577","SRX2147012","Sample_US-1494958","colon"
"51","SRP087577","SRX2147002","Sample_US-1493212","colon"
"52","SRP087577","SRX2146997","Sample_US-1493193","colon"
"53","SRP087577","SRX2146976","Sample_US-1492025","colon"
"54","SRP087577","SRX2146975","Sample_US-1492020","colon"
"55","SRP087577","SRX2147001","Sample_US-1493211","colon"
"56","SRP087577","SRX2146996","Sample_US-1493191","colon"
