"","study.accession","experiment.accession","source_name","tissue"
"1","SRP077921","SRX1897707","pancreas","pancreas"
"2","SRP077921","SRX1897709","pancreas","pancreas"
"3","SRP077921","SRX1897736","pancreas","pancreas"
"4","SRP077921","SRX1897692","pancreas","pancreas"
"5","SRP077921","SRX1897735","pancreas","pancreas"
"6","SRP077921","SRX1897743","pancreas","pancreas"
"7","SRP077921","SRX1897727","pancreas","pancreas"
"8","SRP077921","SRX1897677","pancreas","pancreas"
"9","SRP077921","SRX1897694","pancreas","pancreas"
"10","SRP077921","SRX1897734","pancreas","pancreas"
"11","SRP077921","SRX1897730","pancreas","pancreas"
"12","SRP077921","SRX1897723","pancreas","pancreas"
"13","SRP077921","SRX1897681","pancreas","pancreas"
"14","SRP077921","SRX1897699","pancreas","pancreas"
"15","SRP077921","SRX1897741","pancreas","pancreas"
"16","SRP077921","SRX1897728","pancreas","pancreas"
"17","SRP077921","SRX1897729","pancreas","pancreas"
"18","SRP077921","SRX1897740","pancreas","pancreas"
"19","SRP077921","SRX1897697","pancreas","pancreas"
"20","SRP077921","SRX1897739","pancreas","pancreas"
"21","SRP077921","SRX1897705","pancreas","pancreas"
"22","SRP077921","SRX1897712","pancreas","pancreas"
"23","SRP077921","SRX1897696","pancreas","pancreas"
"24","SRP077921","SRX1897715","pancreas","pancreas"
"25","SRP077921","SRX1897731","pancreas","pancreas"
"26","SRP077921","SRX1897737","pancreas","pancreas"
"27","SRP077921","SRX1897742","pancreas","pancreas"
"28","SRP077921","SRX1897683","pancreas","pancreas"
"29","SRP077921","SRX1897726","pancreas","pancreas"
"30","SRP077921","SRX1897744","pancreas","pancreas"
"31","SRP077921","SRX1897680","pancreas","pancreas"
"32","SRP077921","SRX1897703","pancreas","pancreas"
"33","SRP077921","SRX1897673","pancreas","pancreas"
"34","SRP077921","SRX1897706","pancreas","pancreas"
"35","SRP077921","SRX1897733","pancreas","pancreas"
"36","SRP077921","SRX1897732","pancreas","pancreas"
"37","SRP077921","SRX1897690","pancreas","pancreas"
"38","SRP077921","SRX1897685","pancreas","pancreas"
"39","SRP077921","SRX1897701","pancreas","pancreas"
"40","SRP077921","SRX1897738","pancreas","pancreas"
"41","SRP077921","SRX1897675","pancreas","pancreas"
"42","SRP077921","SRX1897700","pancreas","pancreas"
"43","SRP077921","SRX1897710","pancreas","pancreas"
"44","SRP077921","SRX1897721","pancreas","pancreas"
"45","SRP077921","SRX1897693","pancreas","pancreas"
"46","SRP077921","SRX1897691","pancreas","pancreas"
"47","SRP077921","SRX1897716","pancreas","pancreas"
"48","SRP077921","SRX1897708","pancreas","pancreas"
"49","SRP077921","SRX1897745","pancreas","pancreas"
"50","SRP077921","SRX1897719","pancreas","pancreas"
"51","SRP077921","SRX1897720","pancreas","pancreas"
"52","SRP077921","SRX1897689","pancreas","pancreas"
"53","SRP077921","SRX1897674","pancreas","pancreas"
"54","SRP077921","SRX1897704","pancreas","pancreas"
"55","SRP077921","SRX1897695","pancreas","pancreas"
"56","SRP077921","SRX1897713","pancreas","pancreas"
"57","SRP077921","SRX1897711","pancreas","pancreas"
"58","SRP077921","SRX1897686","pancreas","pancreas"
"59","SRP077921","SRX1897698","pancreas","pancreas"
"60","SRP077921","SRX1897682","pancreas","pancreas"
"61","SRP077921","SRX1897702","pancreas","pancreas"
"62","SRP077921","SRX1897724","pancreas","pancreas"
"63","SRP077921","SRX1897717","pancreas","pancreas"
"64","SRP077921","SRX1897722","pancreas","pancreas"
"65","SRP077921","SRX1897725","pancreas","pancreas"
"66","SRP077921","SRX1897679","pancreas","pancreas"
"67","SRP077921","SRX1897684","pancreas","pancreas"
"68","SRP077921","SRX1897678","pancreas","pancreas"
"69","SRP077921","SRX1897714","pancreas","pancreas"
"70","SRP077921","SRX1897676","pancreas","pancreas"
"71","SRP077921","SRX1897687","pancreas","pancreas"
"72","SRP077921","SRX1897718","pancreas","pancreas"
"73","SRP077921","SRX1897688","pancreas","pancreas"
