"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"117","SRP107198","SRX2831660","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"118","SRP107198","SRX2831661","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"119","SRP107198","SRX2831534","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"120","SRP107198","SRX2831537","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"121","SRP107198","SRX2831498","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"122","SRP107198","SRX2831640","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","DMSO vehicle","0.01%"
"123","SRP107198","SRX2831536","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"124","SRP107198","SRX2831649","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405841","100 nM"
"125","SRP107198","SRX2831655","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"126","SRP107198","SRX2831519","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405843","100 nM"
"127","SRP107198","SRX2831569","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
"128","SRP107198","SRX2831546","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
