"","study.accession","experiment.accession","source_name","cell.line","cell.type","drug","concentration"
"172","SRP107198","SRX2831594","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"173","SRP107198","SRX2831616","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405841","100 nM"
"174","SRP107198","SRX2831665","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"175","SRP107198","SRX2831559","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"176","SRP107198","SRX2831496","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"177","SRP107198","SRX2831676","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","untreated","N/A"
"178","SRP107198","SRX2831523","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"179","SRP107198","SRX2831664","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"180","SRP107198","SRX2831533","DV-90 NSCLC cell line","DV-90","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"181","SRP107198","SRX2831499","A427 NSCLC cell line","A427","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"182","SRP107198","SRX2831562","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","1000 nM"
"183","SRP107198","SRX2831620","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib + SAR405845","1000 nM"
"184","SRP107198","SRX2831626","LU-99A NSCLC cell line","LU-99A","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","100 nM"
"185","SRP107198","SRX2831666","SW1573 NSCLC cell line","SW1573","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","10 nM"
"186","SRP107198","SRX2831591","NCI-H358 NSCLC cell line","NCI-H358","Non-Small Cell Lung Cancer (NSCLC)","pimasertib","10 nM"
"187","SRP107198","SRX2831568","NCI-H1944 NSCLC cell line","NCI-H1944","Non-Small Cell Lung Cancer (NSCLC)","SAR405838","100 nM"
