"","study.accession","experiment.accession","source_name","tissue"
"36","SRP099599","SRX2558721","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"37","SRP099599","SRX2558770","esophageal epithelium","esophageal adenocarcinoma"
"38","SRP099599","SRX2558784","esophageal epithelium","esophageal adenocarcinoma"
"39","SRP099599","SRX2558756","esophageal epithelium","esophageal adenocarcinoma"
"40","SRP099599","SRX2558742","esophageal epithelium","esophageal adenocarcinoma"
"41","SRP099599","SRX2558747","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"42","SRP099599","SRX2558727","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"43","SRP099599","SRX2558769","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"44","SRP099599","SRX2558760","esophageal epithelium","esophageal adenocarcinoma"
"45","SRP099599","SRX2558722","esophageal epithelium","esophageal adenocarcinoma"
"46","SRP099599","SRX2558787","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"47","SRP099599","SRX2558752","esophageal epithelium","esophageal adenocarcinoma"
"48","SRP099599","SRX2558718","esophageal epithelium","esophageal adenocarcinoma"
"49","SRP099599","SRX2558719","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"50","SRP099599","SRX2558788","esophageal epithelium","esophageal adenocarcinoma"
"51","SRP099599","SRX2558716","esophageal epithelium","esophageal adenocarcinoma"
"52","SRP099599","SRX2558753","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"53","SRP099599","SRX2558790","esophageal epithelium","esophageal adenocarcinoma"
"54","SRP099599","SRX2558745","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"55","SRP099599","SRX2558783","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"56","SRP099599","SRX2558743","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"57","SRP099599","SRX2558734","esophageal epithelium","esophageal adenocarcinoma"
"58","SRP099599","SRX2558717","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"59","SRP099599","SRX2558735","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"60","SRP099599","SRX2558730","esophageal epithelium","esophageal adenocarcinoma"
"61","SRP099599","SRX2558790","esophageal epithelium","esophageal adenocarcinoma"
"62","SRP099599","SRX2558788","esophageal epithelium","esophageal adenocarcinoma"
"63","SRP099599","SRX2558749","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"64","SRP099599","SRX2558785","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"65","SRP099599","SRX2558764","esophageal epithelium","esophageal adenocarcinoma"
"66","SRP099599","SRX2558720","esophageal epithelium","esophageal adenocarcinoma"
"67","SRP099599","SRX2558784","esophageal epithelium","esophageal adenocarcinoma"
"68","SRP099599","SRX2558724","esophageal epithelium","esophageal adenocarcinoma"
"69","SRP099599","SRX2558755","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"70","SRP099599","SRX2558748","esophageal epithelium","esophageal adenocarcinoma"
"71","SRP099599","SRX2558754","esophageal epithelium","esophageal adenocarcinoma"
"72","SRP099599","SRX2558767","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"73","SRP099599","SRX2558787","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"74","SRP099599","SRX2558782","esophageal epithelium","esophageal adenocarcinoma"
"75","SRP099599","SRX2558779","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"76","SRP099599","SRX2558785","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"77","SRP099599","SRX2558774","esophageal epithelium","esophageal adenocarcinoma"
"78","SRP099599","SRX2558736","esophageal epithelium","esophageal adenocarcinoma"
"79","SRP099599","SRX2558757","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"80","SRP099599","SRX2558778","esophageal epithelium","esophageal adenocarcinoma"
"81","SRP099599","SRX2558789","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"82","SRP099599","SRX2558777","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"83","SRP099599","SRX2558786","esophageal epithelium","esophageal adenocarcinoma"
"84","SRP099599","SRX2558714","esophageal epithelium","esophageal adenocarcinoma"
"85","SRP099599","SRX2558780","esophageal epithelium","esophageal adenocarcinoma"
"86","SRP099599","SRX2558781","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"87","SRP099599","SRX2558744","esophageal epithelium","esophageal adenocarcinoma"
"88","SRP099599","SRX2558791","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"89","SRP099599","SRX2558773","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"90","SRP099599","SRX2558771","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"91","SRP099599","SRX2558729","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"92","SRP099599","SRX2558789","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
