"","study.accession","experiment.accession","source_name","tissue"
"1","SRP099599","SRX2558750","esophageal epithelium","esophageal adenocarcinoma"
"2","SRP099599","SRX2558776","esophageal epithelium","esophageal adenocarcinoma"
"3","SRP099599","SRX2558751","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"4","SRP099599","SRX2558728","esophageal epithelium","esophageal adenocarcinoma"
"5","SRP099599","SRX2558746","esophageal epithelium","esophageal adenocarcinoma"
"6","SRP099599","SRX2558782","esophageal epithelium","esophageal adenocarcinoma"
"7","SRP099599","SRX2558733","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"8","SRP099599","SRX2558763","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"9","SRP099599","SRX2558762","esophageal epithelium","esophageal adenocarcinoma"
"10","SRP099599","SRX2558725","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"11","SRP099599","SRX2558775","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"12","SRP099599","SRX2558786","esophageal epithelium","esophageal adenocarcinoma"
"13","SRP099599","SRX2558766","esophageal epithelium","esophageal adenocarcinoma"
"14","SRP099599","SRX2558772","esophageal epithelium","esophageal adenocarcinoma"
"15","SRP099599","SRX2558739","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"16","SRP099599","SRX2558791","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"17","SRP099599","SRX2558792","esophageal epithelium","esophageal adenocarcinoma"
"18","SRP099599","SRX2558713","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"19","SRP099599","SRX2558731","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"20","SRP099599","SRX2558768","esophageal epithelium","esophageal adenocarcinoma"
"21","SRP099599","SRX2558765","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"22","SRP099599","SRX2558783","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"23","SRP099599","SRX2558741","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"24","SRP099599","SRX2558761","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"25","SRP099599","SRX2558723","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"26","SRP099599","SRX2558715","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"27","SRP099599","SRX2558738","esophageal epithelium","esophageal adenocarcinoma"
"28","SRP099599","SRX2558781","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"29","SRP099599","SRX2558732","esophageal epithelium","esophageal adenocarcinoma"
"30","SRP099599","SRX2558726","esophageal epithelium","esophageal adenocarcinoma"
"31","SRP099599","SRX2558737","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
"32","SRP099599","SRX2558758","esophageal epithelium","esophageal adenocarcinoma"
"33","SRP099599","SRX2558792","esophageal epithelium","esophageal adenocarcinoma"
"34","SRP099599","SRX2558740","esophageal epithelium","esophageal adenocarcinoma"
"35","SRP099599","SRX2558759","esophageal epithelium","matched non-malignant esophageal epithelial tissue"
