"","study.accession","experiment.accession","source_name","cell.type"
"150","SRP059035","SRX1047527","PDX, LC-PT-45-Re","PDX"
"151","SRP059035","SRX1047475","primary tumor, LC-PT-45","primary tumor"
"152","SRP059035","SRX1047455","human lung cancer cell line","H358"
"153","SRP059035","SRX1047536","PDX, LC-PT-45-Re","PDX"
"154","SRP059035","SRX1047521","PDX, LC-PT-45-Re","PDX"
"155","SRP059035","SRX1047582","PDX, LC-MBT-15","PDX"
"156","SRP059035","SRX1047420","human lung cancer cell line","H358"
"157","SRP059035","SRX1047495","PDX, LC-PT-45","PDX"
"158","SRP059035","SRX1047444","human lung cancer cell line","H358"
"159","SRP059035","SRX1047542","PDX, LC-PT-45-Re","PDX"
"160","SRP059035","SRX1047579","PDX, LC-MBT-15","PDX"
"161","SRP059035","SRX1047583","PDX, LC-MBT-15","PDX"
"162","SRP059035","SRX1047434","human lung cancer cell line","H358"
"163","SRP059035","SRX1047433","human lung cancer cell line","H358"
"164","SRP059035","SRX1047601","PDX, LC-MBT-15","PDX"
"165","SRP059035","SRX1047492","PDX, LC-PT-45","PDX"
"166","SRP059035","SRX1047581","PDX, LC-MBT-15","PDX"
"167","SRP059035","SRX1047498","PDX, LC-PT-45","PDX"
"168","SRP059035","SRX1047480","PDX, LC-PT-45","PDX"
"169","SRP059035","SRX1047437","human lung cancer cell line","H358"
"170","SRP059035","SRX1047614","PDX, LC-MBT-15","PDX"
"171","SRP059035","SRX1047559","PDX, LC-PT-45-Re","PDX"
"172","SRP059035","SRX1047625","blood, LC-MBT-15","blood"
"173","SRP059035","SRX1047575","PDX, LC-MBT-15","PDX"
"174","SRP059035","SRX1047447","human lung cancer cell line","H358"
"175","SRP059035","SRX1047523","PDX, LC-PT-45-Re","PDX"
"176","SRP059035","SRX1047502","PDX, LC-PT-45","PDX"
"177","SRP059035","SRX1047450","human lung cancer cell line","H358"
"178","SRP059035","SRX1047431","human lung cancer cell line","H358"
"179","SRP059035","SRX1047533","PDX, LC-PT-45-Re","PDX"
"180","SRP059035","SRX1047474","PDX, LC-PT-45","PDX"
"181","SRP059035","SRX1047588","PDX, LC-MBT-15","PDX"
"182","SRP059035","SRX1047514","PDX, LC-PT-45-Re","PDX"
"183","SRP059035","SRX1047549","PDX, LC-PT-45-Re","PDX"
"184","SRP059035","SRX1047608","PDX, LC-MBT-15","PDX"
"185","SRP059035","SRX1047483","PDX, LC-PT-45","PDX"
"186","SRP059035","SRX1047624","PDX, LC-MBT-15","PDX"
"187","SRP059035","SRX1047471","PDX, LC-PT-45","PDX"
"188","SRP059035","SRX1047617","PDX, LC-PT-45","PDX"
"189","SRP059035","SRX1047422","human lung cancer cell line","H358"
"190","SRP059035","SRX1047595","PDX, LC-MBT-15","PDX"
"191","SRP059035","SRX1047548","PDX, LC-PT-45-Re","PDX"
"192","SRP059035","SRX1047618","PDX, LC-PT-45","PDX"
"193","SRP059035","SRX1047622","blood, LC-PT-45","blood"
"194","SRP059035","SRX1047460","human lung cancer cell line","H358"
"195","SRP059035","SRX1047554","PDX, LC-PT-45-Re","PDX"
"196","SRP059035","SRX1047598","PDX, LC-MBT-15","PDX"
"197","SRP059035","SRX1047426","human lung cancer cell line","H358"
"198","SRP059035","SRX1047472","PDX, LC-PT-45","PDX"
"199","SRP059035","SRX1047488","PDX, LC-PT-45","PDX"
"200","SRP059035","SRX1047445","human lung cancer cell line","H358"
"201","SRP059035","SRX1047501","PDX, LC-PT-45","PDX"
"202","SRP059035","SRX1047603","PDX, LC-MBT-15","PDX"
"203","SRP059035","SRX1047560","PDX, LC-MBT-15","PDX"
"204","SRP059035","SRX1047481","PDX, LC-PT-45","PDX"
"205","SRP059035","SRX1047541","PDX, LC-PT-45-Re","PDX"
"206","SRP059035","SRX1047526","PDX, LC-PT-45-Re","PDX"
"207","SRP059035","SRX1047489","PDX, LC-PT-45","PDX"
"208","SRP059035","SRX1047446","human lung cancer cell line","H358"
