"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","cell_line","BioSampleModel"
"55","SRP125153","SRX3401989","RHM256_0h","80","Edwin CHEUNG","female","breast","MCF-7","Human"
"56","SRP125153","SRX3401962","RHM265_12h","105","Edwin CHEUNG","female","breast","MCF-7","Human"
"57","SRP125153","SRX3401964","RHM291_12h","111","Edwin CHEUNG","female","breast","MCF-7","Human"
"58","SRP125153","SRX3402036","RHM268_3h","122","Edwin CHEUNG","female","breast","MCF-7","Human"
"59","SRP125153","SRX3402013","RHM263_6h","147","Edwin CHEUNG","female","breast","MCF-7","Human"
"60","SRP125153","SRX3402015","RHM271_6h","149","Edwin CHEUNG","female","breast","MCF-7","Human"
"61","SRP125153","SRX3401950","RHM297_12h","112","Edwin CHEUNG","female","breast","MCF-7","Human"
"62","SRP125153","SRX3401970","RHM234_12h","96","Edwin CHEUNG","female","breast","MCF-7","Human"
"63","SRP125153","SRX3402037","RHM269_3h","123","Edwin CHEUNG","female","breast","MCF-7","Human"
"64","SRP125153","SRX3401994","RHM233_0h","75","Edwin CHEUNG","female","breast","MCF-7","Human"
"65","SRP125153","SRX3401996","RHM226_0h","73","Edwin CHEUNG","female","breast","MCF-7","Human"
"66","SRP125153","SRX3402018","RHM244_6h","141","Edwin CHEUNG","female","breast","MCF-7","Human"
"67","SRP125153","SRX3402027","RHM309_3h","134","Edwin CHEUNG","female","breast","MCF-7","Human"
"68","SRP125153","SRX3401972","RHM241_12h","98","Edwin CHEUNG","female","breast","MCF-7","Human"
"69","SRP125153","SRX3402020","RHM222_6h","137","Edwin CHEUNG","female","breast","MCF-7","Human"
"70","SRP125153","SRX3401993","RHM240_0h","76","Edwin CHEUNG","female","breast","MCF-7","Human"
"71","SRP125153","SRX3401957","RHM273_12h","108","Edwin CHEUNG","female","breast","MCF-7","Human"
"72","SRP125153","SRX3401971","RHM243_12h","99","Edwin CHEUNG","female","breast","MCF-7","Human"
"73","SRP125153","SRX3401979","RHM299_0h","88","Edwin CHEUNG","female","breast","MCF-7","Human"
"74","SRP125153","SRX3401968","RHM225_12h","94","Edwin CHEUNG","female","breast","MCF-7","Human"
"75","SRP125153","SRX3402033","RHM279_3h","127","Edwin CHEUNG","female","breast","MCF-7","Human"
"76","SRP125153","SRX3401959","RHM257_12h","102","Edwin CHEUNG","female","breast","MCF-7","Human"
"77","SRP125153","SRX3402028","RHM287_3h","130","Edwin CHEUNG","female","breast","MCF-7","Human"
"78","SRP125153","SRX3401965","RHM224_12h","93","Edwin CHEUNG","female","breast","MCF-7","Human"
"79","SRP125153","SRX3401956","RHM267_12h","107","Edwin CHEUNG","female","breast","MCF-7","Human"
"80","SRP125153","SRX3401992","RHM242_0h","77","Edwin CHEUNG","female","breast","MCF-7","Human"
"81","SRP125153","SRX3401980","RHM304_0h","89","Edwin CHEUNG","female","breast","MCF-7","Human"
"82","SRP125153","SRX3401998","RHM218_0h","71","Edwin CHEUNG","female","breast","MCF-7","Human"
"83","SRP125153","SRX3402012","RHM262_6h","146","Edwin CHEUNG","female","breast","MCF-7","Human"
"84","SRP125153","SRX3401953","RHM236_3h","117","Edwin CHEUNG","female","breast","MCF-7","Human"
"85","SRP125153","SRX3402010","RHM253_6h","144","Edwin CHEUNG","female","breast","MCF-7","Human"
"86","SRP125153","SRX3401999","RHM216_0h","70","Edwin CHEUNG","female","breast","MCF-7","Human"
"87","SRP125153","SRX3401991","RHM248_0h","78","Edwin CHEUNG","female","breast","MCF-7","Human"
"88","SRP125153","SRX3402017","RHM294_6h","151","Edwin CHEUNG","female","breast","MCF-7","Human"
"89","SRP125153","SRX3401985","RHM303_6h","154","Edwin CHEUNG","female","breast","MCF-7","Human"
"90","SRP125153","SRX3402003","RHV142_0M_10k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"91","SRP125153","SRX3401984","RHM217_12h","91","Edwin CHEUNG","female","breast","MCF-7","Human"
"92","SRP125153","SRX3402016","RHM286_6h","150","Edwin CHEUNG","female","breast","MCF-7","Human"
"93","SRP125153","SRX3401966","RHM219_12h","92","Edwin CHEUNG","female","breast","MCF-7","Human"
