"","study.accession","experiment.accession","isolate","age","biomaterial_provider","sex","tissue","cell_line","BioSampleModel"
"1","SRP125153","SRX3401981","RHM296_0h","86","Edwin CHEUNG","female","breast","MCF-7","Human"
"2","SRP125153","SRX3401951","RHM254_3h","119","Edwin CHEUNG","female","breast","MCF-7","Human"
"3","SRP125153","SRX3401960","RHM258_12h","103","Edwin CHEUNG","female","breast","MCF-7","Human"
"4","SRP125153","SRX3402014","RHM270_6h","148","Edwin CHEUNG","female","breast","MCF-7","Human"
"5","SRP125153","SRX3401955","RHM266_12h","106","Edwin CHEUNG","female","breast","MCF-7","Human"
"6","SRP125153","SRX3402007","RHV127_0M_100k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"7","SRP125153","SRX3402005","RHV143_6M_100k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"8","SRP125153","SRX3401967","RHM227_12h","95","Edwin CHEUNG","female","breast","MCF-7","Human"
"9","SRP125153","SRX3401949","RHM305_12h","113","Edwin CHEUNG","female","breast","MCF-7","Human"
"10","SRP125153","SRX3401945","RHM261_3h","121","Edwin CHEUNG","female","breast","MCF-7","Human"
"11","SRP125153","SRX3401988","RHM259_0h","81","Edwin CHEUNG","female","breast","MCF-7","Human"
"12","SRP125153","SRX3402031","RHM285_3h","129","Edwin CHEUNG","female","breast","MCF-7","Human"
"13","SRP125153","SRX3401948","RHM306_12h","114","Edwin CHEUNG","female","breast","MCF-7","Human"
"14","SRP125153","SRX3402032","RHM278_3h","126","Edwin CHEUNG","female","breast","MCF-7","Human"
"15","SRP125153","SRX3401986","RHM301_6h","153","Edwin CHEUNG","female","breast","MCF-7","Human"
"16","SRP125153","SRX3402026","RHM310_3h","135","Edwin CHEUNG","female","breast","MCF-7","Human"
"17","SRP125153","SRX3401969","RHM235_12h","97","Edwin CHEUNG","female","breast","MCF-7","Human"
"18","SRP125153","SRX3402006","RHV135_3M_100k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"19","SRP125153","SRX3401973","RHM250_12h","101","Edwin CHEUNG","female","breast","MCF-7","Human"
"20","SRP125153","SRX3402025","RHM293_3h","132","Edwin CHEUNG","female","breast","MCF-7","Human"
"21","SRP125153","SRX3402030","RHM284_3h","128","Edwin CHEUNG","female","breast","MCF-7","Human"
"22","SRP125153","SRX3402008","RHM245_6h","142","Edwin CHEUNG","female","breast","MCF-7","Human"
"23","SRP125153","SRX3401975","RHM289_0h","84","Edwin CHEUNG","female","breast","MCF-7","Human"
"24","SRP125153","SRX3402024","RHM295_3h","133","Edwin CHEUNG","female","breast","MCF-7","Human"
"25","SRP125153","SRX3401978","RHM282_0h","83","Edwin CHEUNG","female","breast","MCF-7","Human"
"26","SRP125153","SRX3401983","RHM307_0h","90","Edwin CHEUNG","female","breast","MCF-7","Human"
"27","SRP125153","SRX3401977","RHM280_0h","82","Edwin CHEUNG","female","breast","MCF-7","Human"
"28","SRP125153","SRX3402019","RHM239_6h","140","Edwin CHEUNG","female","breast","MCF-7","Human"
"29","SRP125153","SRX3402004","RHM342_12M_100k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"30","SRP125153","SRX3402023","RHM229_6h","138","Edwin CHEUNG","female","breast","MCF-7","Human"
"31","SRP125153","SRX3401958","RHM274_12h","109","Edwin CHEUNG","female","breast","MCF-7","Human"
"32","SRP125153","SRX3402009","RHM246_6h","143","Edwin CHEUNG","female","breast","MCF-7","Human"
"33","SRP125153","SRX3401947","RHM223_3h","115","Edwin CHEUNG","female","breast","MCF-7","Human"
"34","SRP125153","SRX3401990","RHM251_0h","79","Edwin CHEUNG","female","breast","MCF-7","Human"
"35","SRP125153","SRX3402035","RHM277_3h","125","Edwin CHEUNG","female","breast","MCF-7","Human"
"36","SRP125153","SRX3402011","RHM260_6h","145","Edwin CHEUNG","female","breast","MCF-7","Human"
"37","SRP125153","SRX3401997","RHM220_0h","72","Edwin CHEUNG","female","breast","MCF-7","Human"
"38","SRP125153","SRX3402001","RHM349_6M_10k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"39","SRP125153","SRX3402002","RHM341_3M_10k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
"40","SRP125153","SRX3402034","RHM276_3h","124","Edwin CHEUNG","female","breast","MCF-7","Human"
"41","SRP125153","SRX3401982","RHM298_0h","87","Edwin CHEUNG","female","breast","MCF-7","Human"
"42","SRP125153","SRX3402021","RHM221_6h","136","Edwin CHEUNG","female","breast","MCF-7","Human"
"43","SRP125153","SRX3401974","RHM249_12h","100","Edwin CHEUNG","female","breast","MCF-7","Human"
"44","SRP125153","SRX3401946","RHM255_3h","120","Edwin CHEUNG","female","breast","MCF-7","Human"
"45","SRP125153","SRX3401963","RHM283_12h","110","Edwin CHEUNG","female","breast","MCF-7","Human"
"46","SRP125153","SRX3401976","RHM290_0h","85","Edwin CHEUNG","female","breast","MCF-7","Human"
"47","SRP125153","SRX3401952","RHM247_3h","118","Edwin CHEUNG","female","breast","MCF-7","Human"
"48","SRP125153","SRX3401954","RHM231_3h","116","Edwin CHEUNG","female","breast","MCF-7","Human"
"49","SRP125153","SRX3401987","RHM300_6h","152","Edwin CHEUNG","female","breast","MCF-7","Human"
"50","SRP125153","SRX3402022","RHM237_6h","139","Edwin CHEUNG","female","breast","MCF-7","Human"
"51","SRP125153","SRX3401961","RHM264_12h","104","Edwin CHEUNG","female","breast","MCF-7","Human"
"52","SRP125153","SRX3401995","RHM232_0h","74","Edwin CHEUNG","female","breast","MCF-7","Human"
"53","SRP125153","SRX3402029","RHM292_3h","131","Edwin CHEUNG","female","breast","MCF-7","Human"
"54","SRP125153","SRX3402000","RHM357_12M_10k","69","Edwin CHEUNG","female","breast","MCF-7","Human"
